version_id,lang_code,lang_name,country,abbr,has_text,version_title
1323,gur,Farefare,BF;GH,gurDBL,true,"Farefare, Ninkaré"
3194,gur,Farefare,BF;GH,GBTP,true,ZE'ELEGO PAALEGA
2668,fip,Fipa,MW;TZ,FNT1988,true,UPANGANO UPYA
3981,fir,Firan,NG,FIR,true,Firan NT Portions
813,fon,Fon,BJ;TG,FONDC,true,MAWUXÓWÉMA
817,fon,Fon,BJ;TG,Fon13,true,MAWUXÓWÉMA
1159,fuv,Fulani,CM;NG;TD,fuv,true,"Fulfulde, Nigeria"
2377,fuv,Fulani,CM;NG;TD,fuv,true,اَلْکَوَلْ کٜسَلْ ندٜرْ فُلْفُلْدٜ شَکَ نَاجٜىٰرِيَ
905,fub,Fulfulde (Adamawa),CM;ER;ET;NG;SD;TD,FBDC,true,Fulfulde DC Bible
906,fub,Fulfulde (Adamawa),CM;ER;ET;NG;SD;TD,FB,true,Fulfulde Bible
1373,fuq,Fulfulde (Central-Eastern Niger),ML;NE;NG;TD,fuq,true,Alkawal Kesal
3087,fue,"Fulfulde, Borgu",BJ;NG,GAL,true,Galaatiya
3088,fue,"Fulfulde, Borgu",BJ;NG,BFB,true,Bible Fulfulde Bénin
2355,flr,Fuliiru,BI;CD,flr,true,Kifuliiru
3485,pym,Fyam,NG,PYM : Gam,true,PYAM NT Portions
2708,gaa,Ga,GH,NEGAB,true,ŊMALƐ KRƆŊKRƆŊ LƐ
2712,gaa,Ga,GH,GBV96,true,Ṅmãle̱ Kroṅkroṅ Le̱
3678,gab,Gabri,TD,gab,true,Gabri Maja
434,gmv,Gamo,ET,GM,true,Geeshsha Maxaafa
4041,gmv,Gamo,ET,ጋሞመጽቅበፊደል,true,ጋሞ ማጻፋ
1423,lug,Ganda,UG,LBR,true,"EKITABO EKITUKUVU, BAIBULI"
1625,lug,Ganda,UG,EEEE,true,Endagaano Enkadde n’Endagaano Empya
1829,lug,Ganda,UG,LUG68,true,Ekitabo Ekitukuvu ekiyitibwa Baibuli Endagaano Enkadde n'Empya
2182,lug,Ganda,UG,BIBU1,true,BIBULIYA ENTUKUVU
2804,lug,Ganda,UG,LBwD03,true,Luganda DC Bible 2003
2808,lug,Ganda,UG,LB03,true,Luganda Bible 2003
4516,gou,Gavar,CM,GOU,true,Dzəv ma wiyə
4130,gyl,Gayil,ET,GylNTEth,true,ጋይል አዲስ ኪዳን
4349,gqa,Ga’anda,NG,GQA,true,Ga'anda
1621,gbr,Gbagyi,NG,GAW,true,Alkawali Woiwoyi
4607,gbr,Gbagyi,NG,GNB,true,Gbagyi Nyizeyenya Baibwulu: Shekwoyi Ɓədagbma
4352,gbv,Gbanu,CF,GBANU,true,Écritures en Banou 1939
2522,krs,Gbaya (South Sudan),CF;SD;SS,GBA,true,Ádá ká Mbájá
868,gya,"Gbaya, Northwest",CF;CG;CM;NG,GB11DC,true,Kalata Ko SƆ̧ DC
871,gya,"Gbaya, Northwest",CF;CG;CM;NG,GB11,true,KALATA KO SƆ̧
1367,gso,"Gbaya, Southwest",CF;CM,NTGBY,true,"Takarata pɛ Sɔ, Mbombe Mbon"
3847,sxw,"Gbe, Saxwe",BJ,sxw,true,"Gbe, Saxwe - 2022 WBT (NT) Non Drama"
3177,gez,Ge'ez (Ethiopic).,ER;ET,ሐኪግ,true,ሐዲስ ኪዳን በልሳነ ግእዝ
4442,drs,Gedeo,ET,gdo,true,Woyyichchaa Maxaafa
3622,gyz,Geji,NG,GYZ,true,Geji New Testament Portions
2236,gej,Gen,BJ;TG,GEN,true,GƐ̃GBE BIBLIA 2014
907,bbj,Ghomálá',CM,NTGomala,true,Ghomala New Testament
1120,gid,Gidar,CM;TD,GDRNT85,true,Nouveau Testament en Guidar
3773,gid,Gidar,CM;TD,GB,true,Bible en Guidar
3774,gid,Gidar,CM;TD,GBD,true,Bible en Guidar
1741,acd,Gikyode,GH;TG,acd,true,"GɛnÞ PobÞrÞ, Gɛbono Wurubuaarɛ Gi Yɛgɛ Mɔ-rɛ Anyamesɛ Mɛ Wɔra Mɔ"
4314,gix,Gilima,CD;CF,GIX,true,Mbeti na ndi Gilima
2207,nyf,Giryama,KE,nyf,true,Kilagane Kisha (Kenya)
3476,swj,Gisir (Eshira),GA,SWJ,true,Gisir
2900,toh,Gitonga,MZ,BGG2014,true,Bhibhiliya Nya Guage
2901,toh,Gitonga,MZ,BGE2014,true,Bhibhiliya Nya Guage
3956,glw,Glavda,CM;NG,GLW,true,Glavda NT Portion
3272,god,Godié,CI,god,true,GOD - u2
435,gof,Gofa,ET,gofRNT,true,Ooratha Caaquwa Goofatho
506,gof,Gofa,ET,gofENT,true,ኦራ ጫቁዋ ጎፋ
2344,gof,Gofa,ET,GFBLVF,true,Geeshsha Maxaafa
4044,gof,Gofa,ET,GFBEVF,true,ጌሻ ማፃፋ
3038,gog,Gogo,TZ,GOG91,true,I CILAGANE CIPYA 1991
3039,gog,Gogo,TZ,LLKWW,true,Luganuzi Luswanu Kuli Wanhu Wose 2002
2520,gol,Gola,LR;SL,WFESD,true,WƆŊ FƐ̀Ì EBÒ SÌÀŊ DAYÀA
1729,gjn,Gonja,GH,GJNb,true,EBƆRƐ BE KAWƆL
1173,gqr,Gor,CF;TD,gqr,true,Ta lǝ Luwǝ Kunmindɨ kɨ Sigɨ
3055,gux,Gourmanchéma,BF;BJ;NE;TG,GUX03,true,Gourmanchéma Bible
3056,gux,Gourmanchéma,BF;BJ;NE;TG,BGP,true,U TIENU MAAMA TILI 2013
2829,gbo,"Grebo, Northern",CI;LR,NKWJ,true,Nyesoaa Kuo Win Jajle
1778,gde,Gude,CM;NG,gde,true,Gude: Kura Aləkawalə ŋga Əntaŋfə
3772,gde,Gude,CM;NG,Ruth BGD,true,The  Book or Ruth in Guge
4099,gdf,Guduf-Gava,CM;NG,GDF,true,Gava NT
500,gkp,Guinea Kpelle,GN;LR,KWB,true,Bible
1393,gkp,Guinea Kpelle,GN;LR,BKPDCG,true,Yálá laawoo hɛɓɛ (dc)
1395,gkp,Guinea Kpelle,GN;LR,BKPG,true,Yálá laawoo hɛɓɛ
815,gvl,Gulay,TD,GUL04,true,Nouveau Testament en Gulay 2004
2405,guw,Gun,BJ;NG,BWL23,true,BIBLU WIWE LỌ 1923
1837,rub,Gungu,UG,LUGUNGU,true,Bitabbu bya Ndagaanu Ghyaka na Bitabbu 6 bya Ndagaanu Gi̱gu̱lu̱u̱su̱ (Lugungu)
4737,gpa,Gupa-Abawa,NG,GPA,true,Lìtàfi Lìlitsì Gupa Abawa
3593,goa,Guro,CI,GOURU,true,Kazambale lé Sebe Sauunu 1979
3784,gsl,Gusilay,SN,gsl,true,Gusiilaay
3644,jgk,Gwak,NG,JGK,true,Jarawa
4458,gwn,Gwandara,NG,Gaa,true,Gwandara New Testament
2299,gwr,Gwere,UG,GWR,true,Bbaibbuli y'oLugwere
3498,hdy,Hadiyya,ET,KeesKita,true,KEESAMMI KITAABA
1499,hag,Hanga,GH,hag,true,"Naawun yatogiri, Piiligu gbaŋŋu Selections"
4031,mey,Hassaniyya,DZ;EH;MA;ML;MR;NE;SN,الحسانية,true,الكتاب المقدس بلغة الحسانية
71,hau,Hausa,BF;BJ;CM;NE;NG;TD,HAU,true,Littafi Mai Tsarki
1614,hau,Hausa,BF;BJ;CM;NE;NG;TD,SRK,true,Sabon Rai Don Kowa 2020
3307,hau,Hausa Arabic script,BF;BJ;CM;NE;NG;TD,hauAS,true,أَتَّوْرَتْ دَ أَنَّبَاوَا
